ticker,ex_div_date,dividend_amount,entry_date,entry_type,entry_price,exit_date,exit_price,holding_days,entry_vix,exit_vix,entry_zscore,entry_premium_discount,gross_return_bps,bid_ask_cost_bps,borrow_fee_bps,net_return_bps,won,regime,regime_calm,regime_stressed
PDI,2023-05-10,0.221,2023-05-10,ex_div_close,18.32,2023-06-08,18.71,20,16.94,13.65,-0.4053771505798471,5.106135249946927,-212.88,23.47,23.01,-259.37,False,Normal (15-20),False,False
PDI,2023-06-09,0.221,2023-06-08,t_minus_1_close,18.71,2023-06-15,18.37,5,13.65,14.5,-0.08109284156162352,6.367247994139376,181.72,22.98,5.75,152.98,True,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-08,t_minus_1_close,18.71,2023-06-23,18.69,10,13.65,13.44,-0.08109284156162352,6.367247994139376,10.69,22.98,11.51,-23.8,False,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-08,t_minus_1_close,18.71,2023-06-30,18.75,15,13.65,13.59,-0.08109284156162352,6.367247994139376,-21.38,22.98,17.26,-61.62,False,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-08,t_minus_1_close,18.71,2023-07-10,19.1,20,13.65,15.07,-0.08109284156162352,6.367247994139376,-208.45,22.98,23.01,-254.44,False,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-09,ex_div_open,18.53,2023-06-16,18.3,5,13.83,13.54,-0.500309382243167,4.945985925740705,124.12,23.21,5.75,95.16,True,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-09,ex_div_open,18.53,2023-06-26,18.69,10,13.83,14.25,-0.500309382243167,4.945985925740705,-86.35,23.21,11.51,-121.06,False,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-09,ex_div_open,18.53,2023-07-03,18.92,15,13.83,13.57,-0.500309382243167,4.945985925740705,-210.47,23.21,17.26,-250.94,False,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-09,ex_div_open,18.53,2023-07-11,19.11,20,13.83,14.84,-0.500309382243167,4.945985925740705,-313.01,23.21,23.01,-359.23,False,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-09,ex_div_close,18.46,2023-06-16,18.3,5,13.83,13.54,-0.500309382243167,4.945985925740705,86.67,23.29,5.75,57.63,True,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-09,ex_div_close,18.46,2023-06-26,18.69,10,13.83,14.25,-0.500309382243167,4.945985925740705,-124.59,23.29,11.51,-159.39,False,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-09,ex_div_close,18.46,2023-07-03,18.92,15,13.83,13.57,-0.500309382243167,4.945985925740705,-249.19,23.29,17.26,-289.74,False,Calm (<15),True,False
PDI,2023-06-09,0.221,2023-06-09,ex_div_close,18.46,2023-07-11,19.11,20,13.83,14.84,-0.500309382243167,4.945985925740705,-352.11,23.29,23.01,-398.42,False,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-11,t_minus_1_close,19.11,2023-07-18,18.66,5,14.84,13.3,0.8876636279090461,9.764507626874838,235.48,22.5,5.75,207.22,True,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-11,t_minus_1_close,19.11,2023-07-25,18.95,10,14.84,13.86,0.8876636279090461,9.764507626874838,83.73,22.5,11.51,49.72,True,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-11,t_minus_1_close,19.11,2023-08-01,19.1,15,14.84,13.93,0.8876636279090461,9.764507626874838,5.23,22.5,17.26,-34.53,False,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-11,t_minus_1_close,19.11,2023-08-08,19.54,20,14.84,15.99,0.8876636279090461,9.764507626874838,-225.01,22.5,23.01,-270.53,False,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-12,ex_div_open,18.98,2023-07-19,18.77,5,13.54,13.76,0.8151101266082216,9.548608524104061,110.64,22.66,5.75,82.23,True,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-12,ex_div_open,18.98,2023-07-26,18.96,10,13.54,13.19,0.8151101266082216,9.548608524104061,10.54,22.66,11.51,-23.62,False,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-12,ex_div_open,18.98,2023-08-02,19.2,15,13.54,16.09,0.8151101266082216,9.548608524104061,-115.91,22.66,17.26,-155.83,False,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-12,ex_div_open,18.98,2023-08-09,19.5,20,13.54,15.96,0.8151101266082216,9.548608524104061,-273.97,22.66,23.01,-319.64,False,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-12,ex_div_close,18.93,2023-07-19,18.77,5,13.54,13.76,0.8151101266082216,9.548608524104061,84.52,22.72,5.75,56.05,True,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-12,ex_div_close,18.93,2023-07-26,18.96,10,13.54,13.19,0.8151101266082216,9.548608524104061,-15.85,22.72,11.51,-50.07,False,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-12,ex_div_close,18.93,2023-08-02,19.2,15,13.54,16.09,0.8151101266082216,9.548608524104061,-142.63,22.72,17.26,-182.61,False,Calm (<15),True,False
PDI,2023-07-12,0.221,2023-07-12,ex_div_close,18.93,2023-08-09,19.5,20,13.54,15.96,0.8151101266082216,9.548608524104061,-301.11,22.72,23.01,-346.84,False,Calm (<15),True,False
PDI,2023-08-10,0.221,2023-08-09,t_minus_1_close,19.5,2023-08-16,18.57,5,15.96,16.78,1.74570542412067,12.97798227933905,476.92,22.05,5.75,449.12,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-09,t_minus_1_close,19.5,2023-08-23,18.29,10,15.96,15.98,1.74570542412067,12.97798227933905,620.51,22.05,11.51,586.95,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-09,t_minus_1_close,19.5,2023-08-30,18.06,15,15.96,13.88,1.74570542412067,12.97798227933905,738.46,22.05,17.26,699.15,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-09,t_minus_1_close,19.5,2023-09-07,17.98,20,15.96,14.4,1.74570542412067,12.97798227933905,779.49,22.05,23.01,734.42,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-10,ex_div_open,19.26,2023-08-17,18.26,5,15.85,17.89,1.642603858507153,12.676054761498603,519.21,22.33,5.75,491.13,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-10,ex_div_open,19.26,2023-08-24,18.31,10,15.85,17.2,1.642603858507153,12.676054761498603,493.25,22.33,11.51,459.42,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-10,ex_div_open,19.26,2023-08-31,18.03,15,15.85,13.57,1.642603858507153,12.676054761498603,638.63,22.33,17.26,599.04,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-10,ex_div_open,19.26,2023-09-08,17.8,20,15.85,13.84,1.642603858507153,12.676054761498603,758.05,22.33,23.01,712.71,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-10,ex_div_close,19.2,2023-08-17,18.26,5,15.85,17.89,1.642603858507153,12.676054761498603,489.58,22.4,5.75,461.43,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-10,ex_div_close,19.2,2023-08-24,18.31,10,15.85,17.2,1.642603858507153,12.676054761498603,463.54,22.4,11.51,429.64,True,Normal (15-20),False,False
